,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
0,0,0,154000,False,substation,False,transmission,0.0,129.026,35.2372,KR,POINT (129.026 35.2372),True
1,1,0,345000,False,substation,False,transmission,0.0,129.027,35.2382,KR,POINT (129.027 35.2382),False
2,2,1,154000,False,substation,False,transmission,0.0,126.7878,36.4666,KR,POINT (126.7878 36.4666),True
3,3,1,345000,False,substation,False,transmission,0.0,126.7888,36.4676,KR,POINT (126.7888 36.4676),False
4,4,2,154000,False,substation,False,transmission,0.0,129.3962,35.9461,KR,POINT (129.3962 35.9461),True
5,5,2,345000,False,substation,False,transmission,0.0,129.3972,35.9471,KR,POINT (129.3972 35.9471),False
6,6,3,154000,False,substation,False,transmission,0.0,129.2147,35.6789,KR,POINT (129.2147 35.6789),True
7,7,3,345000,False,substation,False,transmission,0.0,129.2157,35.6799,KR,POINT (129.2157 35.6799),False
8,8,3,354000,False,substation,False,transmission,0.0,129.2167,35.6809,KR,POINT (129.2167 35.6809),False
9,9,4,145000,False,substation,False,transmission,0.0,129.3398,35.4809,KR,POINT (129.3398 35.4809),True
10,10,4,154000,False,substation,False,transmission,0.0,129.3408,35.4819,KR,POINT (129.3408 35.4819),False
11,11,4,345000,False,substation,False,transmission,0.0,129.3418,35.4829,KR,POINT (129.3418 35.4829),False
12,12,4,354000,False,substation,False,transmission,0.0,129.3428,35.4839,KR,POINT (129.3428 35.4839),False
13,13,5,154000,False,substation,False,transmission,0.0,129.2964,35.3276,KR,POINT (129.2964 35.3276),True
14,14,5,345000,False,substation,False,transmission,0.0,129.2974,35.3286,KR,POINT (129.2974 35.3286),False
15,15,5,765000,False,substation,False,transmission,0.0,129.2984,35.3296,KR,POINT (129.2984 35.3296),False
16,16,6,154000,False,substation,False,transmission,0.0,126.4177,35.4081,KR,POINT (126.4177 35.4081),True
17,17,6,345000,False,substation,False,transmission,0.0,126.4187,35.4091,KR,POINT (126.4187 35.4091),False
18,18,6,380000,False,substation,False,transmission,0.0,126.4197,35.4101,KR,POINT (126.4197 35.4101),False
19,19,7,154000,False,substation,False,transmission,0.0,129.3816,37.0899,KR,POINT (129.3816 37.0899),True
20,20,7,345000,False,substation,False,transmission,0.0,129.3826,37.0909,KR,POINT (129.3826 37.0909),False
21,21,7,380000,False,substation,False,transmission,0.0,129.3836,37.0919,KR,POINT (129.3836 37.0919),False
22,22,7,765000,False,substation,False,transmission,0.0,129.3846,37.0929,KR,POINT (129.3846 37.0929),False
23,23,8,154000,False,substation,False,transmission,0.0,127.5314,36.2944,KR,POINT (127.5314 36.2944),True
24,24,8,345000,False,substation,False,transmission,0.0,127.5324,36.2954,KR,POINT (127.5324 36.2954),False
25,25,9,154000,False,substation,False,transmission,0.0,127.1479,37.2335,KR,POINT (127.1479 37.2335),True
26,26,9,345000,False,substation,False,transmission,0.0,127.1489,37.2345,KR,POINT (127.1489 37.2345),False
