,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
803,transf_0_0,0,1,154000,345000,KR,"LINESTRING (129.026 35.2372, 129.027 35.2382)","MULTIPOINT ((129.026 35.2372), (129.027 35.2382))",POINT (129.026 35.2372),POINT (129.027 35.2382),129.026,35.2372,129.027,35.2382
804,transf_1_0,2,3,154000,345000,KR,"LINESTRING (126.7878 36.4666, 126.7888 36.4676)","MULTIPOINT ((126.7878 36.4666), (126.7888 36.4676))",POINT (126.7878 36.4666),POINT (126.7888 36.4676),126.7878,36.4666,126.7888,36.4676
805,transf_2_0,4,5,154000,345000,KR,"LINESTRING (129.3962 35.9461, 129.3972 35.9471)","MULTIPOINT ((129.3962 35.9461), (129.3972 35.9471))",POINT (129.3962 35.9461),POINT (129.3972 35.9471),129.3962,35.9461,129.3972,35.9471
806,transf_3_0,6,7,154000,345000,KR,"LINESTRING (129.2147 35.6789, 129.2157 35.6799)","MULTIPOINT ((129.2147 35.6789), (129.2157 35.6799))",POINT (129.2147 35.6789),POINT (129.2157 35.6799),129.2147,35.6789,129.2157,35.6799
807,transf_3_1,7,8,345000,354000,KR,"LINESTRING (129.2157 35.6799, 129.2167 35.6809)","MULTIPOINT ((129.2157 35.6799), (129.2167 35.6809))",POINT (129.2157 35.6799),POINT (129.2167 35.6809),129.2157,35.6799,129.2167,35.6809
808,transf_4_0,9,10,145000,154000,KR,"LINESTRING (129.3398 35.4809, 129.3408 35.4819)","MULTIPOINT ((129.3398 35.4809), (129.3408 35.4819))",POINT (129.3398 35.4809),POINT (129.3408 35.4819),129.3398,35.4809,129.3408,35.4819
809,transf_4_1,10,11,154000,345000,KR,"LINESTRING (129.3408 35.4819, 129.3418 35.4829)","MULTIPOINT ((129.3408 35.4819), (129.3418 35.4829))",POINT (129.3408 35.4819),POINT (129.3418 35.4829),129.3408,35.4819,129.3418,35.4829
810,transf_4_2,11,12,345000,354000,KR,"LINESTRING (129.3418 35.4829, 129.3428 35.4839)","MULTIPOINT ((129.3418 35.4829), (129.3428 35.4839))",POINT (129.3418 35.4829),POINT (129.3428 35.4839),129.3418,35.4829,129.3428,35.4839
811,transf_5_0,13,14,154000,345000,KR,"LINESTRING (129.2964 35.3276, 129.2974 35.3286)","MULTIPOINT ((129.2964 35.3276), (129.2974 35.3286))",POINT (129.2964 35.3276),POINT (129.2974 35.3286),129.2964,35.3276,129.2974,35.3286
812,transf_5_1,14,15,345000,765000,KR,"LINESTRING (129.2974 35.3286, 129.2984 35.3296)","MULTIPOINT ((129.2974 35.3286), (129.2984 35.3296))",POINT (129.2974 35.3286),POINT (129.2984 35.3296),129.2974,35.3286,129.2984,35.3296
813,transf_6_0,16,17,154000,345000,KR,"LINESTRING (126.4177 35.4081, 126.4187 35.4091)","MULTIPOINT ((126.4177 35.4081), (126.4187 35.4091))",POINT (126.4177 35.4081),POINT (126.4187 35.4091),126.4177,35.4081,126.4187,35.4091
814,transf_6_1,17,18,345000,380000,KR,"LINESTRING (126.4187 35.4091, 126.4197 35.4101)","MULTIPOINT ((126.4187 35.4091), (126.4197 35.4101))",POINT (126.4187 35.4091),POINT (126.4197 35.4101),126.4187,35.4091,126.4197,35.4101
815,transf_7_0,19,20,154000,345000,KR,"LINESTRING (129.3816 37.0899, 129.3826 37.0909)","MULTIPOINT ((129.3816 37.0899), (129.3826 37.0909))",POINT (129.3816 37.0899),POINT (129.3826 37.0909),129.3816,37.0899,129.3826,37.0909
816,transf_7_1,20,21,345000,380000,KR,"LINESTRING (129.3826 37.0909, 129.3836 37.0919)","MULTIPOINT ((129.3826 37.0909), (129.3836 37.0919))",POINT (129.3826 37.0909),POINT (129.3836 37.0919),129.3826,37.0909,129.3836,37.0919
817,transf_7_2,21,22,380000,765000,KR,"LINESTRING (129.3836 37.0919, 129.3846 37.0929)","MULTIPOINT ((129.3836 37.0919), (129.3846 37.0929))",POINT (129.3836 37.0919),POINT (129.3846 37.0929),129.3836,37.0919,129.3846,37.0929
818,transf_8_0,23,24,154000,345000,KR,"LINESTRING (127.5314 36.2944, 127.5324 36.2954)","MULTIPOINT ((127.5314 36.2944), (127.5324 36.2954))",POINT (127.5314 36.2944),POINT (127.5324 36.2954),127.5314,36.2944,127.5324,36.2954
819,transf_9_0,25,26,154000,345000,KR,"LINESTRING (127.1479 37.2335, 127.1489 37.2345)","MULTIPOINT ((127.1479 37.2335), (127.1489 37.2345))",POINT (127.1479 37.2335),POINT (127.1489 37.2345),127.1479,37.2335,127.1489,37.2345
820,transf_9_1,26,27,345000,354000,KR,"LINESTRING (127.1489 37.2345, 127.1499 37.2355)","MULTIPOINT ((127.1489 37.2345), (127.1499 37.2355))",POINT (127.1489 37.2345),POINT (127.1499 37.2355),127.1489,37.2345,127.1499,37.2355
821,transf_10_0,28,29,154000,345000,KR,"LINESTRING (127.2596 37.0973, 127.2606 37.0983)","MULTIPOINT ((127.2596 37.0973), (127.2606 37.0983))",POINT (127.2596 37.0973),POINT (127.2606 37.0983),127.2596,37.0973,127.2606,37.0983
822,transf_10_1,29,30,345000,765000,KR,"LINESTRING (127.2606 37.0983, 127.2616 37.0993)","MULTIPOINT ((127.2606 37.0983), (127.2616 37.0993))",POINT (127.2606 37.0983),POINT (127.2616 37.0993),127.2606,37.0983,127.2616,37.0993
823,transf_11_0,31,32,154000,345000,KR,"LINESTRING (127.0599 37.3778, 127.0609 37.3788)","MULTIPOINT ((127.0599 37.3778), (127.0609 37.3788))",POINT (127.0599 37.3778),POINT (127.0609 37.3788),127.0599,37.3778,127.0609,37.3788
824,transf_12_0,33,34,154000,345000,KR,"LINESTRING (127.2662 36.2432, 127.2672 36.2442)","MULTIPOINT ((127.2662 36.2432), (127.2672 36.2442))",POINT (127.2662 36.2432),POINT (127.2672 36.2442),127.2662,36.2432,127.2672,36.2442
825,transf_13_0,35,36,154000,345000,KR,"LINESTRING (126.8854 37.4642, 126.8864 37.4652)","MULTIPOINT ((126.8854 37.4642), (126.8864 37.4652))",POINT (126.8854 37.4642),POINT (126.8864 37.4652),126.8854,37.4642,126.8864,37.4652
826,transf_15_0,38,39,154000,345000,KR,"LINESTRING (126.8743 35.9672, 126.8753 35.9682)","MULTIPOINT ((126.8743 35.9672), (126.8753 35.9682))",POINT (126.8743 35.9672),POINT (126.8753 35.9682),126.8743,35.9672,126.8753,35.9682
827,transf_16_0,40,41,154000,345000,KR,"LINESTRING (128.691 35.7349, 128.692 35.7359)","MULTIPOINT ((128.691 35.7349), (128.692 35.7359))",POINT (128.691 35.7349),POINT (128.692 35.7359),128.691,35.7349,128.692,35.7359
