Bus,busmap
1,KR0 1
101,KR0 27
103,KR0 237
105,KR0 249
108,KR0 234
110,KR0 143
112,KR0 93
114,KR0 225
116,KR0 61
118,KR0 21
12,KR0 181
120,KR0 102
121,KR0 86
124,KR0 0
128,KR0 158
130,KR0 17
132,KR0 222
134,KR0 180
136,KR0 156
137,KR0 32
140,KR0 34
142,KR0 179
144,KR0 212
146,KR0 9
148,KR0 139
15,KR0 15
150,KR0 190
152,KR0 207
154,KR0 193
156,KR0 53
158,KR0 168
159,KR0 169
163,KR0 162
168,KR0 110
170,KR0 12
172,KR0 98
174,KR0 129
176,KR0 25
177,KR0 134
178,KR0 119
18,KR0 64
180,KR0 72
181,KR0 34
183,KR0 189
184,KR0 246
185,KR0 120
186,KR0 247
188,KR0 112
189,KR0 106
190,KR0 11
192,KR0 66
195,KR0 60
196,KR0 233
197,KR0 221
198,KR0 64
199,KR0 97
201,KR0 31
202,KR0 245
203,KR0 190
205,KR0 236
207,KR0 165
208,KR0 34
21,KR0 192
210,KR0 26
213,KR0 87
22,KR0 192
224,KR0 134
226,KR0 6
227,KR0 238
228,KR0 128
229,KR0 111
230,KR0 88
232,KR0 201
233,KR0 44
234,KR0 224
235,KR0 251
237,KR0 216
239,KR0 211
24,KR0 24
241,KR0 100
242,KR0 231
244,KR0 122
246,KR0 244
248,KR0 194
249,KR0 188
250,KR0 210
254,KR0 14
255,KR0 186
257,KR0 37
259,KR0 89
260,KR0 176
261,KR0 235
262,KR0 232
266,KR0 44
267,KR0 46
27,KR0 75
271,KR0 226
272,KR0 189
273,KR0 120
274,KR0 98
275,KR0 185
277,KR0 185
278,KR0 98
280,KR0 196
281,KR0 127
283,KR0 116
285,KR0 57
286,KR0 127
287,KR0 107
289,KR0 187
290,KR0 105
291,KR0 244
292,KR0 177
293,KR0 230
294,KR0 83
295,KR0 59
296,KR0 62
297,KR0 225
298,KR0 179
299,KR0 74
3,KR0 95
30,KR0 217
300,KR0 49
301,KR0 238
302,KR0 74
305,KR0 250
307,KR0 82
310,KR0 133
311,KR0 26
312,KR0 19
313,KR0 228
314,KR0 125
32,KR0 224
322,KR0 42
323,KR0 100
326,KR0 150
327,KR0 161
328,KR0 145
329,KR0 20
330,KR0 10
332,KR0 3
333,KR0 38
334,KR0 178
335,KR0 123
336,KR0 28
337,KR0 172
338,KR0 210
34,KR0 196
340,KR0 29
341,KR0 199
342,KR0 174
343,KR0 70
344,KR0 199
345,KR0 254
346,KR0 105
347,KR0 70
348,KR0 182
349,KR0 126
352,KR0 17
353,KR0 165
354,KR0 54
355,KR0 197
356,KR0 118
357,KR0 162
359,KR0 125
36,KR0 154
360,KR0 208
362,KR0 153
364,KR0 209
366,KR0 63
369,KR0 213
37,KR0 138
370,KR0 50
371,KR0 77
372,KR0 175
373,KR0 218
374,KR0 137
375,KR0 48
376,KR0 44
377,KR0 117
378,KR0 131
380,KR0 244
381,KR0 56
383,KR0 144
385,KR0 255
386,KR0 175
388,KR0 52
389,KR0 190
39,KR0 138
390,KR0 90
392,KR0 204
393,KR0 205
394,KR0 107
396,KR0 68
397,KR0 174
398,KR0 135
400,KR0 58
402,KR0 166
403,KR0 148
404,KR0 140
405,KR0 212
407,KR0 36
408,KR0 200
409,KR0 4
41,KR0 231
410,KR0 219
413,KR0 71
414,KR0 198
415,KR0 128
417,KR0 82
419,KR0 7
420,KR0 7
422,KR0 120
423,KR0 167
424,KR0 101
425,KR0 22
426,KR0 160
427,KR0 59
428,KR0 223
429,KR0 104
433,KR0 250
434,KR0 22
435,KR0 159
436,KR0 132
437,KR0 187
44,KR0 42
440,KR0 252
441,KR0 109
443,KR0 40
444,KR0 109
446,KR0 149
448,KR0 206
450,KR0 121
451,KR0 171
452,KR0 114
453,KR0 12
454,KR0 153
455,KR0 162
456,KR0 81
457,KR0 67
458,KR0 242
459,KR0 214
46,KR0 238
460,KR0 66
462,KR0 193
463,KR0 113
464,KR0 23
465,KR0 113
466,KR0 103
467,KR0 115
468,KR0 203
474,KR0 60
477,KR0 147
478,KR0 227
479,KR0 195
48,KR0 122
481,KR0 243
482,KR0 41
483,KR0 130
484,KR0 156
485,KR0 69
486,KR0 37
487,KR0 158
488,KR0 2
491,KR0 142
493,KR0 13
494,KR0 173
495,KR0 155
496,KR0 96
497,KR0 124
5,KR0 16
50,KR0 170
504,KR0 136
505,KR0 144
508,KR0 184
509,KR0 138
510,KR0 39
511,KR0 151
513,KR0 157
514,KR0 157
515,KR0 117
519,KR0 146
52,KR0 217
523,KR0 119
524,KR0 76
525,KR0 141
526,KR0 29
527,KR0 5
528,KR0 43
53,KR0 177
530,KR0 209
533,KR0 253
535,KR0 3
536,KR0 183
537,KR0 164
540,KR0 215
542,KR0 220
543,KR0 92
545,KR0 191
546,KR0 240
548,KR0 23
55,KR0 135
550,KR0 15
551,KR0 16
552,KR0 172
554,KR0 42
555,KR0 80
557,KR0 66
560,KR0 127
561,KR0 68
563,KR0 126
564,KR0 248
565,KR0 73
566,KR0 159
567,KR0 234
569,KR0 83
57,KR0 79
570,KR0 255
575,KR0 19
581,KR0 88
582,KR0 142
585,KR0 202
588,KR0 60
589,KR0 84
59,KR0 55
590,KR0 24
591,KR0 170
593,KR0 97
594,KR0 241
598,KR0 62
604,KR0 56
606,KR0 136
607,KR0 99
608,KR0 81
61,KR0 216
610,KR0 30
612,KR0 78
614,KR0 18
615,KR0 104
619,KR0 65
623,KR0 161
625,KR0 16
626,KR0 156
627,KR0 47
628,KR0 35
629,KR0 13
63,KR0 94
630,KR0 152
631,KR0 8
638,KR0 164
641,KR0 76
642,KR0 33
65,KR0 210
68,KR0 91
70,KR0 108
72,KR0 232
73,KR0 235
75,KR0 44
77,KR0 252
79,KR0 43
8,KR0 233
81,KR0 45
83,KR0 34
85,KR0 121
88,KR0 239
90,KR0 85
92,KR0 229
94,KR0 163
96,KR0 166
98,KR0 144
99,KR0 51
