Line,name
1,7
2,6
3,8
4,5
10,339
12,340
14,341
15,357
19,333
22,139
23,137
24,136
25,134
26,138
27,135
31,400
34,313
37,314
38,315
45,234
46,235
47,16
48,18
49,20
50,19
51,17
56,4
57,1
58,2
59,3
60,175
62,205
64,308
67,307
68,306
71,233
72,232
74,231
75,171
76,171
77,170
78,172
83,372
89,227
96,399
97,123
100,123
101,124
103,154
105,155
108,252
111,257
113,257
114,258
117,203
118,202
119,204
121,186
124,186
126,41
127,40
134,90
135,91
138,358
140,105
141,104
142,61
144,64
147,392
154,247
157,68
159,354
160,44
161,44
162,28
163,29
164,30
165,39
173,332
179,371
182,251
183,252
184,338
185,337
187,194
191,254
197,255
199,104
200,103
204,88
205,43
206,42
209,278
210,276
214,311
216,361
220,291
221,290
222,349
226,348
227,346
230,12
232,325
234,73
235,73
237,352
240,259
241,245
242,244
245,126
246,127
247,125
249,241
254,222
255,336
257,330
263,379
264,380
265,381
266,394
270,246
272,66
275,240
277,240
278,239
283,263
285,86
286,53
288,84
289,32
290,31
292,25
294,352
296,224
298,324
304,315
305,228
306,229
320,101
321,99
322,102
326,248
328,320
330,310
332,157
333,156
336,144
338,9
343,226
344,76
345,75
346,368
347,214
355,217
359,270
361,26
362,27
368,82
369,83
370,194
372,266
374,59
376,187
378,80
379,165
380,167
381,285
382,284
383,161
385,161
386,162
391,121
392,384
396,302
400,55
402,98
403,97
407,389
411,142
413,219
416,385
417,252
418,119
420,120
422,281
423,282
424,283
425,31
426,33
429,218
436,150
437,292
438,275
443,267
444,269
445,88
449,13
450,14
454,390
456,23
464,38
467,38
468,152
472,211
473,162
478,293
481,343
483,257
484,48
486,47
489,21
490,52
492,148
493,318
494,319
496,73
497,351
500,174
502,273
503,272
505,132
507,169
512,118
514,158
516,56
517,60
520,369
521,383
524,365
525,364
526,294
527,304
529,106
531,356
535,249
537,388
543,327
546,379
547,362
5,243
6,298
7,359
8,322
9,141
11,100
13,216
16,113
17,131
18,329
20,15
28,373
29,391
30,220
32,57
33,199
36,151
39,287
40,386
41,191
42,85
43,188
44,153
52,45
53,250
54,366
55,366
65,242
66,58
69,189
70,185
73,183
81,303
82,159
85,353
86,299
87,107
90,193
91,89
92,116
94,63
95,63
98,50
99,65
102,10
107,70
109,179
110,213
112,212
115,206
116,54
120,95
125,34
128,49
130,395
132,312
133,397
136,277
137,166
146,260
148,296
149,300
150,321
151,300
152,375
153,344
155,69
156,67
167,181
168,74
170,74
172,305
175,367
176,398
178,360
180,71
186,11
188,350
190,110
193,200
194,164
195,164
196,110
198,140
201,326
203,46
207,264
211,310
217,117
218,117
223,317
224,262
225,62
238,180
239,209
243,274
248,221
250,335
252,335
253,396
256,327
259,167
260,192
262,363
267,301
268,129
269,69
276,210
279,316
280,397
282,115
287,190
295,209
299,383
301,370
302,111
308,288
309,265
310,122
311,393
312,378
313,128
315,342
318,177
323,168
324,79
327,145
334,143
337,184
339,261
341,225
342,112
348,178
349,280
351,271
354,238
357,173
360,146
363,253
364,94
365,130
366,92
371,37
373,237
377,34
388,330
389,154
393,114
395,93
397,201
398,334
404,96
405,209
406,323
410,109
412,297
414,77
415,256
421,279
427,108
431,182
432,309
433,355
434,149
439,81
440,160
441,268
442,51
446,87
448,345
452,78
453,230
455,236
458,176
461,331
465,163
466,286
469,147
470,196
474,347
476,36
477,223
479,22
480,208
487,207
491,332
495,195
499,175
501,215
513,295
518,376
523,72
528,328
532,24
533,133
534,387
536,198
538,382
539,197
540,374
541,289
542,35
544,363
545,377
