,id,Type,Region,tags.power,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.location,tags.generator:plant,tags.ref,other_tags,geometry,Country
2,143605159,area,KR,generator,fission,632.0,nuclear,CANDU,NULL,NULL,NULL,"{'tags.name': 'WOLSONG-2', 'refs': [1571586820, 1571586801, 1571586782, 1571586798, 1571586820]}","POLYGON ((129.47361660000013 35.71162460000002, 129.4749511000001 35.71086390000002, 129.47425840000014 35.709801100000014, 129.47278130000012 35.71061270000002, 129.47361660000013 35.71162460000002))",KR
3,143605160,area,KR,generator,fission,648.0,nuclear,CANDU,NULL,NULL,NULL,"{'tags.name': 'WOLSONG-3', 'refs': [1571586919, 1571586863, 1571586813, 1571586853, 1571586919]}","POLYGON ((129.47502920000017 35.713268, 129.47636370000015 35.71250740000002, 129.47567100000012 35.71144460000002, 129.47419390000013 35.71225610000002, 129.47502920000017 35.713268))",KR
4,143605163,area,KR,generator,fission,661.0,nuclear,CANDU,NULL,NULL,NULL,"{'tags.name': 'WOLSONG-1', 'refs': [1571586792, 1571586780, 1571586772, 1571586777, 1571586792]}","POLYGON ((129.47260470000012 35.71049040000002, 129.47393920000013 35.70972980000001, 129.47324650000016 35.708667, 129.47176940000014 35.70947850000001, 129.47260470000012 35.71049040000002))",KR
5,143605164,area,KR,generator,fission,635.0,nuclear,CANDU,NULL,NULL,NULL,"{'tags.name': 'WOLSONG-4', 'refs': [1571586978, 1571586952, 1571586858, 1571586924, 1571586978]}","POLYGON ((129.47596240000016 35.714302, 129.47729690000014 35.71354140000004, 129.47660420000014 35.71247860000002, 129.47512710000015 35.71329010000003, 129.47596240000016 35.714302))",KR
576,935167449,area,KR,generator,combustion,346.0,coal,NULL,NULL,NULL,NULL,"{'tags.name': 'Taean IGCC', 'tags.landuse': 'industrial', 'refs': [8666072758, 8666072759, 8666072760, 8666072761, 8666072762, 8666072758]}","POLYGON ((126.23183399999962 36.899917499999916, 126.23281159999962 36.897782, 126.23301759999963 36.89774149999992, 126.23611659999963 36.898641, 126.23511069999964 36.90089749999992, 126.23183399999962 36.899917499999916))",KR
4077,1279096963,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.17257200000027 33.34353589999986),KR
4078,1279096978,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,1,NULL,POINT (126.16346990000032 33.33707599999985),KR
4079,1279096983,node,KR,generator,wind_turbine,1.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.16661450000035 33.33550689999984),KR
4080,1279097020,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,2,NULL,POINT (126.1663107000004 33.33876909999985),KR
4085,1279097184,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,5,NULL,POINT (126.17125130000039 33.345446799999834),KR
4086,2446814190,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,9,NULL,POINT (126.82483430000055 33.39072219999996),KR
4087,2446814193,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,7,NULL,POINT (126.82011290000054 33.392708099999965),KR
4088,2446814194,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,8,NULL,POINT (126.81718400000054 33.393506399999964),KR
4089,2446814195,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,10,NULL,POINT (126.82726970000054 33.394897599999965),KR
4090,2446814199,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,6,NULL,POINT (126.82128790000054 33.395164499999964),KR
4091,2446814211,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,11,NULL,POINT (126.83087940000054 33.39600889999996),KR
4092,2446814212,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,3,NULL,POINT (126.82107350000054 33.39924149999996),KR
4093,2446814214,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,5,NULL,POINT (126.82766420000054 33.39935619999996),KR
4094,2446814215,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,2,NULL,POINT (126.81666410000054 33.39966339999996),KR
4095,2446814217,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,4,NULL,POINT (126.82187090000053 33.40237319999996),KR
4096,2446814218,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,1,NULL,POINT (126.81617740000053 33.402522499999954),KR
4097,2991171486,node,KR,generator,wind_turbine,1.0,wind,horizontal_axis,NULL,NULL,1,NULL,POINT (128.99127489999972 35.421797000000915),KR
4098,2991171497,node,KR,generator,wind_turbine,1.0,wind,horizontal_axis,NULL,NULL,2,NULL,POINT (128.99416829999973 35.42226610000091),KR
4099,3498495161,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,1-1,NULL,POINT (126.8348374000001 33.43967210000006),KR
4100,3498495164,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,2-4,NULL,POINT (126.82839280000009 33.43997530000006),KR
4101,3498495166,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,1-3,NULL,POINT (126.8320315000001 33.440046),KR
4102,3498495177,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,1-2,NULL,POINT (126.83725100000011 33.44080410000006),KR
4103,3498496205,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,2-3,NULL,POINT (126.8285279000001 33.44182030000005),KR
